        210         150           3  1.000000000000000E-002       10000
   5.00000000000000             3023   1.00000000000000    
-4.658025331	1.152562361	2.88
-4.658025331	1.152562361	7.2
-4.658025331	1.152562361	11.52
-4.658025331	3.457687087	0
-4.658025331	3.457687087	4.32
-4.658025331	3.457687087	8.64
-4.658025331	5.762811809	2.88
-4.658025331	5.762811809	7.2
-4.658025331	5.762811809	11.52
-4.658025331	8.067936535	0
-4.658025331	8.067936535	4.32
-4.658025331	8.067936535	8.64
-3.99259314	2.305124724	0.67
-3.99259314	2.305124724	2.21
-3.99259314	2.305124724	4.99
-3.99259314	2.305124724	6.53
-3.99259314	2.305124724	9.31
-3.99259314	2.305124724	10.85
-3.99259314	6.915374172	0.67
-3.99259314	6.915374172	2.21
-3.99259314	6.915374172	4.99
-3.99259314	6.915374172	6.53
-3.99259314	6.915374172	9.31
-3.99259314	6.915374172	10.85
-2.661728759	2.305124724	0
-2.661728759	2.305124724	2.88
-2.661728759	2.305124724	4.32
-2.661728759	2.305124724	7.2
-2.661728759	2.305124724	8.64
-2.661728759	2.305124724	11.52
-2.661728759	6.915374172	0
-2.661728759	6.915374172	2.88
-2.661728759	6.915374172	4.32
-2.661728759	6.915374172	7.2
-2.661728759	6.915374172	8.64
-2.661728759	6.915374172	11.52
-1.33086438	2.305124724	0.67
-1.33086438	2.305124724	2.21
-1.33086438	2.305124724	4.99
-1.33086438	2.305124724	6.53
-1.33086438	2.305124724	9.31
-1.33086438	2.305124724	10.85
-1.33086438	6.915374172	0.67
-1.33086438	6.915374172	2.21
-1.33086438	6.915374172	4.99
-1.33086438	6.915374172	6.53
-1.33086438	6.915374172	9.31
-1.33086438	6.915374172	10.85
-0.665432189	-1.152562361	0
-0.665432189	-1.152562361	4.32
-0.665432189	-1.152562361	8.64
-0.665432189	1.152562361	0
-0.665432189	1.152562361	2.88
-0.665432189	1.152562361	4.32
-0.665432189	1.152562361	7.2
-0.665432189	1.152562361	8.64
-0.665432189	1.152562361	11.52
-0.665432189	3.457687087	0
-0.665432189	3.457687087	2.88
-0.665432189	3.457687087	4.32
-0.665432189	3.457687087	7.2
-0.665432189	3.457687087	8.64
-0.665432189	3.457687087	11.52
-0.665432189	5.762811809	0
-0.665432189	5.762811809	2.88
-0.665432189	5.762811809	4.32
-0.665432189	5.762811809	7.2
-0.665432189	5.762811809	8.64
-0.665432189	5.762811809	11.52
-0.665432189	8.067936535	0
-0.665432189	8.067936535	2.88
-0.665432189	8.067936535	4.32
-0.665432189	8.067936535	7.2
-0.665432189	8.067936535	8.64
-0.665432189	8.067936535	11.52
-0.665432189	10.37306126	2.88
-0.665432189	10.37306126	7.2
-0.665432189	10.37306126	11.52
0	0	0.67
0	0	2.21
0	0	4.99
0	0	6.53
0	0	9.31
0	0	10.85
0	4.610249448	0.67
0	4.610249448	2.21
0	4.610249448	4.99
0	4.610249448	6.53
0	4.610249448	9.31
0	4.610249448	10.85
0	9.220498896	0.67
0	9.220498896	2.21
0	9.220498896	4.99
0	9.220498896	6.53
